name,in_xltx,in_pdf_catalog,pdf_category,lambda_params,pdf_syntax,param_match,comment,formula_len
BI_ASort,True,True,Array,"Array, Order, ColumnIndex",=BI_ASort(B13:D32),False,"Returns the sorted array by all the columns  in the order entered. Useful for sorting Countrywise, Regionwise, Statewise, Citywise etc.,",432
BI_About,True,False,,,,,,725
BI_AltmanZScore,True,True,Forensic Audit,Data,=BI_AltmanZScore(D12:D18),False,Calculates Altman Z Score. Use BI_AltmanZScoreVariables() function to list the variables.,753
BI_AltmanZScoreVariables,True,True,Forensic Audit,,=BI_AltmanZScoreVariables(),True,Lists out Altman Z Score Variables.,148
BI_AnovaSingleFactor,True,True,Statistics,"TableData, alpha, labels","=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",False,Calculates Anova (Analysis of Variance) Single Factor. This is one of the Data Analysis Toolpak features.,2193
BI_AnovaTwoFactorsWithoutReplication,True,True,Statistics,"Data, Alpha, Labels","=BI_AnovaTwoFactorsWithoutReplication(TableData, Alpha, [Labels])",False,Calculates Anova (Analysis of Variance) without replication. This is one of the Data Analysis Toolpak features.,3353
BI_AnsCombeQuartet,True,True,Statistics,,=BI_AnsCombeQuartet(),True,"Shows AnsCombe Quartet. Anscombe's quartet is a group of four data sets that are nearly identical in simple descriptive statistics, but there are peculiarities that fool the regression model once you plot each data set.",982
BI_ArrayContains,True,True,Array,"Array1, Array2","=BI_ArrayContains(B13:E19,G13:J13)",False,Verifies whether one record of data contains in a table and returns true or false. ,166
BI_ArrayCountif,True,True,Array,"Array, CriteriaArray","=BI_ArrayCountif(B13:E19,G13:J13)",False,Counts howmany times a record of data repeated in a table of data. If not found returns 0.,728
BI_ArrayFilter,True,True,Array,"Array, CriteriaArray, SelectedColumns","=BI_ArrayFilter(B13:E19,G13:J13)",False,Filters a Table for a multi-column criteria array by matching selected columns with the criteria array.,1271
BI_ArrayInArray,True,True,Array,"Array1, Array2","=BI_ArrayInArray(B15:E21,G15:J17)",False,Filters only the available rows in an array found in another array. ,198
BI_ArrayMatch,True,True,Array,"LookupValueArray, LookupArray, SelectedColumns","=BI_ArrayMatch(G13:J13,B13:E19)",False,Returns the row number of an array where a matching row is first found. Returns #NA if not found.,798
BI_AttributeUnitCount,True,True,Audit Sampling,Data,=BI_AttributeUnitCount(SalesTable[Sub-Category]),False,Returns Attribute Unit Sampling cumulative count of any attribute.,238
BI_BeginsWith,True,True,Text,"FindText, WithinText, CaseSensitive","=BI_BeginsWith(FindText,WithinText,[CaseSensitive])",True,Returns whether one text begins with another text. ,291
BI_BeneishMScore,True,True,Forensic Audit,"LastYear, CurrentYear","=BI_BeneishMScore(C13:C24,D13:D24)",False,Calculates Beneish M Score. Beneish's M-Score is a mathematical model that uses eight financial ratios weighted by coefficients to identify whether a company has manipulated its profits.,2725
BI_BeneishMScoreVariables,True,True,Forensic Audit,,=BI_BeneishMScoreVariables(),True,Lists out Beneish M Score variables to make it easy to enter two years data for calculating Beneish M Score.,262
BI_BenfordLaw_FirstDigit,True,True,Forensic Audit,BenfordRange,=BI_BenfordLaw_FirstDigit(B12#),False,Returns Benford Law for the first digit of a data set.,686
BI_BenfordLaw_FirstThreeDigits,True,True,Forensic Audit,BenfordRange,=BI_BenfordLaw_FirstThreeDigits(B12#),False,Returns Benford Law for the first three digits of a data set.,752
BI_BenfordLaw_FirstTwoDigits,True,True,Forensic Audit,BenfordRange,=BI_BenfordLaw_FirstTwoDigits(B12#),False,Returns Benford Law for the first two digits of a data set.,748
BI_BenfordLaw_LastTwoDigits,True,True,Forensic Audit,BenfordRange,=BI_BenfordLaw_LastTwoDigits(B12#),False,Returns Benford Law for the last two digits of a data set.,755
BI_BenfordLaw_SecondDigit,True,True,Forensic Audit,BenfordRange,=BI_BenfordLaw_SecondDigit(B12#),False,Returns Benford Law for the second digit of a data set.,770
BI_BenfordLaw_SecondOrder,True,True,Forensic Audit,BenfordRange,=BI_BenfordLaw_SecondOrder(B12#),False,"Calculates Benford Law Second Order - Frequency, Actual and Expected values along with Mean Abstract Deviation. ",1075
BI_BenfordLaw_SummaryTest,True,True,Forensic Audit,BenfordRange,=BI_BenfordLaw_SummaryTest(B12#),False,"Calculates Benford Law Summary Test - Frequency, Actual and Expected values along with Mean Abstract Deviation. ",801
BI_BenfordLaw_ThirdDigit,True,True,Forensic Audit,BenfordRange,=BI_BenfordLaw_ThirdDigit(B12#),False,Returns Benford Law for the third digit of a data set.,776
BI_BottomN,True,True,Statistics,"DataRange, IndexColumn, N","=BI_BottomN(CHOOSECOLS(SalesTable,1,2,6,12),4,B12)",False,Returns Bottom N ranked rows of a column of data.,152
BI_BottomPercent,True,True,Statistics,"Data, IndexColumn, Percent","=BI_BottomPercent(CHOOSECOLS(SalesTable,1,2,6,12),4,B12)",False,Returns Bottom N Percentage of Data,577
BI_Consolidate,True,True,Data,"Function, DataRange1, DataRange2, DataRange3, DataRange4, DataRange5, DataRange6, DataRange7, DataRange8, DataRange9, DataRange10","=BI_Consolidate(9,B12:E17,B20:E25,B28:E34)",False,Multiple Consolidation Ranges,1823
BI_Contains,True,True,Text,"FindText, WithinText, CaseSensitive","=BI_Contains(B14,B12) =BI_Contains(F14,B12,TRUE)",False,Returns true if FindText is found in WithinText.,291
BI_Correlation,True,True,Statistics,"Data, Labels","=BI_Correlation(C14:F23,TRUE)",False,Returns a Correlation Table of many attributes. This is one of the Data Analysis Toolpak features.,1156
BI_Covariance,True,True,Statistics,"Data, Labels","=BI_Covariance(C13:F22,TRUE)",False,Returns a Covariance Table of many attributes. This is one of the Data Analysis Toolpak features.,602
BI_DateDif,True,True,Date,"StartDate, EndDate","=BI_DateDif(C13,C14)",False,"Returns Age in years, months, days etc.,",1322
BI_Describe,True,True,Statistics,Range,=BI_Describe(SalesTable[Sales]),False,Returns the descriptive statistics of Data.,1468
BI_DiscountedPayback,True,True,Financial,"CashFlows, DiscountRate","=BI_DiscountedPayback(C13:C21,C23)",False,Returns the Discounted Payback period for a series of cashflows,589
BI_EMISchedule,True,True,Financial,"Principal, Period, InterestRate","=BI_EMISchedule(C12,C13,C14)",False,Returns EMI Schedule of a loan,850
