serial,name,category,syntax_count,first_syntax
1,BI_AltmanZScore,Forensic Audit,2,=BI_AltmanZScore(D12:D18)
2,BI_AltmanZScoreVariables,Forensic Audit,2,=BI_AltmanZScoreVariables()
3,BI_AnovaSingleFactor,Statistics,2,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)"
4,BI_AnovaTwoFactorsWithoutReplication,Statistics,2,"=BI_AnovaTwoFactorsWithoutReplication(TableData, Alpha, [Labels])"
5,BI_AnsCombeQuartet,Statistics,2,=BI_AnsCombeQuartet()
6,BI_ArrayContains,Array,3,"=BI_ArrayContains(B13:E19,G13:J13)"
7,BI_ArrayCountif,Array,3,"=BI_ArrayCountif(B13:E19,G13:J13)"
8,BI_ArrayFilter,Array,4,"=BI_ArrayFilter(B13:E19,G13:J13)"
9,BI_ArrayInArray,Array,2,"=BI_ArrayInArray(B15:E21,G15:J17)"
10,BI_ArrayMatch,Array,4,"=BI_ArrayMatch(G13:J13,B13:E19)"
11,BI_ASort,Array,3,=BI_ASort(B13:D32)
12,BI_AttributeUnitCount,Audit Sampling,2,=BI_AttributeUnitCount(SalesTable[Sub-Category])
13,BI_BeginsWith,Text,3,"=BI_BeginsWith(FindText,WithinText,[CaseSensitive])"
14,BI_BeneishMScore,Forensic Audit,2,"=BI_BeneishMScore(C13:C24,D13:D24)"
15,BI_BeneishMScoreVariables,Forensic Audit,2,=BI_BeneishMScoreVariables()
16,BI_BenfordLaw_FirstDigit,Forensic Audit,2,=BI_BenfordLaw_FirstDigit(B12#)
17,BI_BenfordLaw_FirstThreeDigits,Forensic Audit,2,=BI_BenfordLaw_FirstThreeDigits(B12#)
18,BI_BenfordLaw_FirstTwoDigits,Forensic Audit,2,=BI_BenfordLaw_FirstTwoDigits(B12#)
19,BI_BenfordLaw_LastTwoDigits,Forensic Audit,2,=BI_BenfordLaw_LastTwoDigits(B12#)
20,BI_BenfordLaw_SecondDigit,Forensic Audit,2,=BI_BenfordLaw_SecondDigit(B12#)
