lambda_name,vba_name,status,comment
BI_About,BI_About,implemented-preview,
BI_AltmanZScore,BI_AltmanZScore,implemented-preview,Calculates Altman Z Score. Use BI_AltmanZScoreVariables() function to list the variables.
BI_AltmanZScoreVariables,BI_AltmanZScoreVariables,implemented-preview,Lists out Altman Z Score Variables.
BI_AnovaSingleFactor,BI_AnovaSingleFactor,implemented-preview,Calculates Anova (Analysis of Variance) Single Factor. This is one of the Data Analysis Toolpak features.
BI_AnovaTwoFactorsWithoutReplication,BI_AnovaTwoFactorsWithoutReplication,implemented-preview,Calculates Anova (Analysis of Variance) without replication. This is one of the Data Analysis Toolpak features.
BI_AnsCombeQuartet,BI_AnsCombeQuartet,implemented-preview,"Shows AnsCombe Quartet. Anscombe's quartet is a group of four data sets that are nearly identical in simple descriptive statistics, but there are peculiarities that fool the regression model once you plot each data set."
BI_ArrayContains,BI_ArrayContains,implemented-preview,Verifies whether one record of data contains in a table and returns true or false. 
BI_ArrayCountif,BI_ArrayCountif,implemented-preview,Counts howmany times a record of data repeated in a table of data. If not found returns 0.
BI_ArrayFilter,BI_ArrayFilter,implemented-preview,Filters a Table for a multi-column criteria array by matching selected columns with the criteria array.
BI_ArrayInArray,BI_ArrayInArray,implemented-preview,Filters only the available rows in an array found in another array. 
BI_ArrayMatch,BI_ArrayMatch,implemented-preview,Returns the row number of an array where a matching row is first found. Returns #NA if not found.
BI_ASort,BI_ASort,implemented-preview,"Returns the sorted array by all the columns  in the order entered. Useful for sorting Countrywise, Regionwise, Statewise, Citywise etc.,"
BI_AttributeUnitCount,BI_AttributeUnitCount,implemented-preview,Returns Attribute Unit Sampling cumulative count of any attribute.
BI_BeginsWith,BI_BeginsWith,implemented-preview,Returns whether one text begins with another text. 
BI_BeneishMScore,BI_BeneishMScore,pending,Calculates Beneish M Score. Beneish's M-Score is a mathematical model that uses eight financial ratios weighted by coefficients to identify whether a company has manipulated its profits.
BI_BeneishMScoreVariables,BI_BeneishMScoreVariables,pending,Lists out Beneish M Score variables to make it easy to enter two years data for calculating Beneish M Score.
BI_BenfordLaw_FirstDigit,BI_BenfordLaw_FirstDigit,implemented-preview,Returns Benford Law for the first digit of a data set.
BI_BenfordLaw_FirstThreeDigits,BI_BenfordLaw_FirstThreeDigits,implemented-preview,Returns Benford Law for the first three digits of a data set.
BI_BenfordLaw_FirstTwoDigits,BI_BenfordLaw_FirstTwoDigits,implemented-preview,Returns Benford Law for the first two digits of a data set.
BI_BenfordLaw_LastTwoDigits,BI_BenfordLaw_LastTwoDigits,implemented-preview,Returns Benford Law for the last two digits of a data set.
BI_BenfordLaw_SecondDigit,BI_BenfordLaw_SecondDigit,implemented-preview,Returns Benford Law for the second digit of a data set.
BI_BenfordLaw_SecondOrder,BI_BenfordLaw_SecondOrder,implemented-preview,"Calculates Benford Law Second Order - Frequency, Actual and Expected values along with Mean Abstract Deviation. "
BI_BenfordLaw_SummaryTest,BI_BenfordLaw_SummaryTest,implemented-preview,"Calculates Benford Law Summary Test - Frequency, Actual and Expected values along with Mean Abstract Deviation. "
BI_BenfordLaw_ThirdDigit,BI_BenfordLaw_ThirdDigit,implemented-preview,Returns Benford Law for the third digit of a data set.
BI_BottomN,BI_BottomN,implemented-preview,Returns Bottom N ranked rows of a column of data.
BI_BottomPercent,BI_BottomPercent,implemented-preview,Returns Bottom N Percentage of Data
BI_Consolidate,BI_Consolidate,implemented-preview,Multiple Consolidation Ranges
BI_Contains,BI_Contains,implemented-preview,Returns true if FindText is found in WithinText.
BI_Correlation,BI_Correlation,implemented-preview,Returns a Correlation Table of many attributes. This is one of the Data Analysis Toolpak features.
