sheet,range,cell,formula,expected,addin,issue
BI_AltmanZScore,B12:B18,B12,=BI_AltmanZScoreVariables(),Working Capital,,addin_blank
BI_AltmanZScore,B12:B18,B13,=BI_AltmanZScoreVariables(),Total Assets,,addin_blank
BI_AltmanZScore,B12:B18,B14,=BI_AltmanZScoreVariables(),Retained Earnings,,addin_blank
BI_AltmanZScore,B12:B18,B15,=BI_AltmanZScoreVariables(),Earnings Before Interest and Taxes,,addin_blank
BI_AltmanZScore,B12:B18,B16,=BI_AltmanZScoreVariables(),Market Value,,addin_blank
BI_AltmanZScore,B12:B18,B17,=BI_AltmanZScoreVariables(),Total Liabilities,,addin_blank
BI_AltmanZScore,B12:B18,B18,=BI_AltmanZScoreVariables(),Sales,,addin_blank
BI_AnovaSingleFactor,B25:H40,C25,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
BI_AnovaSingleFactor,B25:H40,D25,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
BI_AnovaSingleFactor,B25:H40,E25,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
BI_AnovaSingleFactor,B25:H40,F25,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
BI_AnovaSingleFactor,B25:H40,G25,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
BI_AnovaSingleFactor,B25:H40,H25,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
BI_AnovaSingleFactor,B25:H40,B26,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
BI_AnovaSingleFactor,B25:H40,C26,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
BI_AnovaSingleFactor,B25:H40,D26,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
BI_AnovaSingleFactor,B25:H40,E26,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
BI_AnovaSingleFactor,B25:H40,F26,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
BI_AnovaSingleFactor,B25:H40,G26,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
BI_AnovaSingleFactor,B25:H40,H26,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
BI_AnovaSingleFactor,B25:H40,C27,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",,0,value_mismatch
