sheet,range,cell,formula,expected,addin,issue
BI_AnovaSingleFactor,B25:H40,D29,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",9911,9924,value_mismatch
BI_AnovaSingleFactor,B25:H40,E29,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",1101.2222222222222,1102.666666666667,value_mismatch
BI_AnovaSingleFactor,B25:H40,F29,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",1814.6944444444441,2818,value_mismatch
BI_AnovaSingleFactor,B25:H40,D30,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",9878,9930,value_mismatch
BI_AnovaSingleFactor,B25:H40,E30,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",1097.5555555555557,1103.333333333333,value_mismatch
BI_AnovaSingleFactor,B25:H40,F30,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",4144.777777777777,3189.5,value_mismatch
BI_AnovaSingleFactor,B25:H40,D31,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",10054,9712,value_mismatch
BI_AnovaSingleFactor,B25:H40,E31,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",1117.111111111111,1079.111111111111,value_mismatch
BI_AnovaSingleFactor,B25:H40,F31,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",3856.1111111111113,2995.361111111111,value_mismatch
BI_AnovaSingleFactor,B25:H40,D32,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",9876,9801,value_mismatch
BI_AnovaSingleFactor,B25:H40,E32,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",1097.3333333333333,1089,value_mismatch
BI_AnovaSingleFactor,B25:H40,F32,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",4223.75,4823.5,value_mismatch
BI_AnovaSingleFactor,B25:H40,C37,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",2372.972222223878,3672.083333335817,value_mismatch
BI_AnovaSingleFactor,B25:H40,E37,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",790.9907407412926,1224.027777778606,value_mismatch
BI_AnovaSingleFactor,B25:H40,F37,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",0.225364188444264,0.3541142222287121,value_mismatch
BI_AnovaSingleFactor,B25:H40,G37,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",0.8780497000647114,0.786456218644639,value_mismatch
BI_AnovaSingleFactor,B25:H40,C38,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",112314.66666666666,110610.8888888889,value_mismatch
BI_AnovaSingleFactor,B25:H40,E38,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",3509.833333333333,3456.590277777778,value_mismatch
BI_AnovaSingleFactor,B25:H40,C40,"=BI_AnovaSingleFactor(C13:F22,0.05,TRUE)",114687.63888889053,114282.9722222247,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D35,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4549,4329,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E35,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1137.25,1082.25,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F35,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",2284.25,3274.25,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D36,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4536,4413,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E36,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1134,1103.25,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F36,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",3282,6384.916666666667,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D37,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4356,4287,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E37,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1089,1071.75,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F37,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",3822,4708.916666666667,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D38,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4468,4359,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E38,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1117,1089.75,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F38,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",2884.6666666666665,3862.916666666667,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D39,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4624,4474,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E39,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1156,1118.5,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F39,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1530,4412.333333333333,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D40,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4277,4434,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E40,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1069.25,1108.5,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F40,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",2294.9166666666665,3589.666666666667,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D41,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4330,4435,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E41,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1082.5,1108.75,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F41,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",2073.6666666666665,5936.25,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D42,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4259,4429,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E42,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1064.75,1107.25,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F42,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",5480.25,1364.916666666667,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D43,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4368,4446,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E43,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1092,1111.5,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F43,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",6600.666666666667,1779.666666666667,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D44,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4531,4394,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E44,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1132.75,1098.5,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F44,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4950.25,1517.666666666667,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D45,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4166,4442,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E45,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1041.5,1110.5,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F45,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1477.6666666666667,2767,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D46,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4343,4311,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E46,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1085.75,1077.75,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F46,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",6000.25,7332.916666666667,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D47,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4391,4413,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E47,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1097.75,1103.25,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F47,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",2396.25,4786.25,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D48,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4661,4423,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,E48,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",1165.25,1105.75,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,F48,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",118.91666666666667,4111.583333333333,value_mismatch
BI_AnovaTwoFactorsWithoutRepli,B32:H63,D49,"=BI_AnovaTwoFactorsWithoutReplication(B13:F29,0.05,TRUE)",4480,4277,value_mismatch
